"ExitIP","ServicesDown","City","ExitCountry","EntryCountry","Status","ServerID","Name","Features"
"2.58.241.67","False","Taichung City","TW",,"Active","jYWhyU5mQhNi3cRWLFvScWFw3I_W2js4o5G4iuNVOJbrJZNISPdDKlRbj2EeF1fSQjChssz_rIjVCYL9QY-R7g==","TW#13","4"
"2.58.241.68","False","Taichung City","TW",,"Active","4MGVgEGKbN8c0z1HAjp6Hp4daqFx5929JOYxhnYAVqX5IncD5VvKI0KOlSsRTM0fqK-cc8YWDuMPCS9J_Dqm0w==","TW#14","4"
"2.58.241.69","False","Taichung City","TW",,"Active","hzd0UY78Q0qK4s1RFoinBUaEjoDKuaO59AX4kl5gp_YdbKboZg954faylxNmUoMuT8dnitTMcOAuuWVicI-EJw==","TW#15","4"
"2.58.241.70","False",,"TW",,"Active","VcNIGvBXhptnetpLI3CjisfoAROGKjdzvMU8rWlr1ymbRvSWcp2O7PYje-lYXmMZme5Zolx7l1HiFPM6BBN8Ig==","CH-TW#1","1"
"2.58.241.70","False","Taichung City","TW",,"Active","4C8xnqU96zSY33wN-8J57A4dX24uFoNt9G0f6IeC5oHeCMMFaZyH0o_Amgfje0fDo81NLDW2HONxn6OeaWwZtg==","TW#16","4"
"2.58.241.71","False","Taichung City","TW",,"Active","azqs1zzsRc9ULrntKtk4YSlhI0lbTsyT0P8Pr3YFtzXKLFJu_FFSTd_MAt2i8dGy-ukQu2owadEGxBAbvJp4_g==","TW#17","4"
"2.58.241.72","False","Taichung City","TW",,"Active","1ScVzFMEqt6FxJw4_T93rrFHQL6OXM0Y8i1R454s0uELCOKfF9Eivzx41HKwBjI11FmIoUYfJTboTwI0rJM0uA==","TW#18","4"
"2.58.241.73","False","Taichung City","TW",,"Active","n6b2Bj3PGk7l0tJfiZVf2JyZxhf4Py8fJixvqU85PDTfugsx0MqJJeDqwAXTL7Lfl_OPjr3K1FisynqfmzvR6A==","TW#19","4"
"2.58.241.74","False","Taichung City","TW",,"Active","awjuuuOBBfogi1_m5uvq5AM1_BriMNuDwYinVs9hEiYF9UTWXixT20kBEB_zlceO-jmNZO-h6MKzorivPzjUnA==","TW#20","4"
"5.157.13.3","False","Dublin","IE",,"Active","9fq-zEUHjNgU98VwTOyRMpeDxpQE7V_HDaOkATQ-HcXn2D_V-mrquxuxKZjRb3RgT4VdwFNbd0XzB5ajZiZY3w==","IE#1","0"
"5.157.13.4","False",,"IE",,"Active","K04qnaRsPCTFEZfvWpymSm4mAzafm-rNVNlou2xPd09lnlfbrOIYHCY2hOmOJteDd094AgwQ067sw6Oo8faHEw==","IS-IE#1","1"
"5.157.13.4","False",,"IE",,"Active","DmW_A0tL2e6L61Dlh-rQv7vt1HrY32BCloVtnFxFwQpH57kNPRLfWw8FBvEECQQ-ODuy7eoV5txeqxOLJkbR4A==","IS-IE#1","1"
"5.157.13.4","False","Dublin","IE",,"Active","hxyei-DAnxj_v5DUJQB8qalQU5ou8Y1I7L7Xmon4B26FlRhAjBv-4uPvIEIMOfYc6uwrN_DxEJtEkWj4s8js-Q==","IE#2","0"
"5.157.13.5","False","Dublin","IE",,"Active","4L94yIPG3Jpv8Ik_ghGe4ug9m-XoMcLtDoCZihibc5Q1XQANxfHHQzKa4xd05IDwD2YcmUS3xhvS_ADZlliqwQ==","IE#3","0"
"5.157.13.6","False","Dublin","IE",,"Active","BTqKNAtKZ3CQTF2bm-3CHtV6mL26NabKzlBKFjgWW9ey8QzG-IEushxW-tWDEphAV5gAZN1is0GEpd2JI5beeA==","IE#4","0"
"5.181.157.8","False",,"MD",,"Active","nW5G9vHwBssKEo4QXQPlDIqX9P2L5FRYAyjBZmicxGK7t3WZqmdhjRZMdS3z1xOPV8ustazq0KmWKXzdBDOHDg==","CH-MD#1","1"
"5.181.157.8","False","Chisinau","MD",,"Active","jOZy0_ZiisY5T0hhaUYRaorye4UlSlNrQ4V8wemid1AracFo39vOzO4qRjrmRI-YOmOD32NQacbp9023WrRjwQ==","MD#09","16"
"5.181.157.9","False","Chisinau","MD",,"Active","DzvrcBkCvTYqU8Ge-DoDkr4SYqylmExfwCPdIYfmHHVmuPwlr1OXR-mTvAYTh9HhTM1xB1YxZWultyTE5NAqTg==","MD#10","16"
"5.181.157.10","False","Chisinau","MD",,"Active","HcVDPnpWEieJyX4JhpCUhhjE-5xFbcLA6zWAOtGla7jp8p55j-cLH9KGoeTMcE2jPhzhzmB8VVYvCV5bCZCtAw==","MD#11","16"
"5.181.157.11","False","Chisinau","MD",,"Active","R-TtJ_crUXX4CWf2DBPJY79FDn13NoxgHYxaGVr_tg6ob0XuBApEeb9o6GR04fHIFvtQmu3MpnSuyZSYe2yMlQ==","MD#12","16"
"5.181.157.12","False","Chisinau","MD",,"Active","3UyAEWtLlQ-O2NauN5RzNcit0YTOxzDgyhXhsRrzBXjEE7F5fbLffmg41QOCnfouWLhs548nkILH3Qhns2r18Q==","MD#13","16"
"5.181.157.13","False","Chisinau","MD",,"Active","h8mNeMNxJJUqDpA-KXIH5NKj86Aaz50w4y-UvcDwaQJ8EFFyJ9jHvqjGAJFgQ57DkRODzmBOUx6n6Iw7l9pJGw==","MD#14","16"
"5.181.157.112","False","Chisinau","MD",,"Active","BrX_I7a4bKgz0ld-m41l8HiQja6ZS8SqklySFsdQbwpq3pMW3_-PxXzsbmC2QveTEMVzMDetIP_ywfGOWlp0Mw==","MD#15","16"
"5.181.157.113","False","Chisinau","MD",,"Active","RCK9rpg2VK4eSuKNoQQwgxOa9jtMuEEK6Edc-3ZtF1ub3VEMeB6V3us4oBsfATzSobRDxMASxX1zrep3iWRjCw==","MD#16","16"
